Name,EIN,IRS 501(c) type,City,State,Total revenues
Sierra Club Foundation,94-6069890,501(c)(3),Oakland,CA,"$89,068,739"
Sustainable Conservation,94-3232437,501(c)(3),San Francisco,CA,"$5,412,592"
Rainforest Action Network,94-3045180,501(c)(3),San Francisco,CA,"$5,062,835"
As You Sow Foundation,94-3281188,501(c)(3),Berkeley,CA,"$4,784,984"
TreePeople,23-7071774,501(c)(3),Beverly Hills,CA,"$4,623,661"
Heal the Bay,95-3947402,501(c)(3),Santa Monica,CA,"$4,429,347"
Environmental Working Group,52-2148600,501(c)(3),Oakland,CA,"$21,056,323"
Golden Gate National Parks Conservancy,94-2781708,501(c)(3),San Francisco,CA,"$45,989,756"
Earth Island Institute,94-2889684,501(c)(3),Berkeley,CA,"$14,387,387"
The 11th Hour Project,46-2448900,501(c)(3),San Francisco,CA,"$61,294,642"
Rainforest Trust,13-3500609,501(c)(3),Laguna Beach,CA,"$97,895,682"
Occidental Arts & Ecology Center OAEC oaec.org,68-0195469,501(c)(3),Occidental,CA,"$2,444,932"
Friends of the River,94-2640897,501(c)(3),Sacramento,CA,"$1,065,695"
Earthjustice,94-1730465,501(c)(3),San Francisco,CA,"$95,654,000"
Leonardo DiCaprio Foundation,81-0860510,501(c)(3),Los Angeles,CA,"$18,396,306"
Environment California Research & Policy Center,58-2468805,501(c)(3),Los Angeles,CA,"$1,102,493"
Environmental Defense Center,77-0155886,501(c)(3),Santa Barbara,CA,"$1,431,578"
Food & Water Watch,32-0160439,501(c)(3),San Francisco,CA,"$17,847,899"
Ocean Conservancy,23-7245152,501(c)(3),San Francisco,CA,"$37,055,856"
California Environmental Justice Alliance CEJA,27-0764135,501(c)(3),Huntington Park,CA,"$3,176,711"
Turtle Island Restoration Network,91-1818080,501(c)(3),Forest Knolls,CA,"$2,313,158"
Community Environmental Council,23-7122879,501(c)(3),Santa Barbara,CA,"$2,809,232"
Acterra Action for a Healthy Planet,23-7064937,501(c)(3),Palo Alto,CA,"$1,720,257"
Point Reyes Bird Observatory PRBO Conservation Science Point Blue Conservation Science,94-1594250,501(c)(3),Petaluma,CA,"$9,723,673"
California League of Conservation Voters,94-2203202,501(c)(4),Oakland,CA,"$1,353,456"
Surfrider Foundation,95-3941826,501(c)(3),San Clemente,CA,"$14,359,977"
Rose Foundation for Communities and the Environment,94-3179772,501(c)(3),Oakland,CA,"$8,183,825"
Greenbelt Alliance,94-1729766,501(c)(3),San Francisco,CA,"$1,756,711"
California Wilderness Coalition,94-3155364,501(c)(3),Oakland,CA,"$1,137,389"
Citizens Committee to Complete the Refuge,94-2376475,501(c)(3),Palo Alto,CA,"$37,724"
Northern California Recycling Association,94-3186095,501(c)(3),Berkeley,CA,"$22,580"
Blue Water Task Force,55-0788397,501(c)(3),Santa Monica,CA,"$4,569,431"
Conservation Strategy Fund,94-3332454,501(c)(3),Arcata,CA,"$3,125,469"
State Environmental Leadership Program & Fund-National Caucus of Environmental Legislators,11-3645325,501(c)(3),Washington,DC,"$1,984,514"
Center for Environmental Health,94-3251981,501(c)(3),Oakland,CA,"$7,018,841"
Center For Community Action & Environmental Justice,33-0289937,501(c)(3),Jurupa Valley,CA,"$1,613,207"
Ecology Center,94-1703351,501(c)(3),Berkeley,CA,"$5,301,618"
Santa Monica Mountains Fund,91-2166290,501(c)(3),Thousand Oaks,CA,"$1,146,632"
GRID Alternatives,20-5863713,501(c)(3),Oakland,CA,"$41,232,795"
NextGen America,47-2505469,501(c)(4),San Francisco,CA,"$246,702,746"
The Climate Registry,20-3554760,501(c)(3),Los Angeles,CA,"$2,226,593"
Destination Stewardship Center,45-3829729,501(c)(3),San Francisco,CA,"$51,175"
Climate Adaptation Implementation Program,85-2731956,501(c)(3),Oakland,CA,"$5,000"
Environmental Incentives,87-0863288,501(c)(3),South Lake Tahoe,CA,"$10,487,398"
350 Bay Area Action,46-5123884,501(c)(4),Oakland,CA,"$204,329"
Center for Resource Solutions,94-3217863,501(c)(3),San Francisco,CA,"$2,955,474"
California Council for Environmental & Economic Balance,94-2301085,501(c)(4),San Francisco,CA,"$13,186,809"
Center for Climate Protection -STAFF,94-3271780,501(c)(3),Santa Rosa,CA,"$889,273"
Strategic Energy Innovations,55-0846926,501(c)(3),San Rafael,CA,"$5,262,293"
Resource Renewal Institute,94-2897749,501(c)(3),Mill Valley,CA,"$352,798"
Strategic Concepts in Organizing & Policy Education SCOPE,95-4604806,501(c)(3),Los Angeles,CA,"$3,209,538"
Marin Conservation League,94-6093830,501(c)(3),San Rafael,CA,"$612,635"
Fossil Fuel Non-Proliferation Treaty Initiative,46-2344493,501(c)(3),Menlo Park,CA,"$3,042,266"
