Name,EIN,IRS 501(c) type,City,State,Total revenues
Pacific Coast Farmers Market Association (PCFMA),77-0196199,501(c)(5),Concord,CA,"$5,444,447"
California Farm Bureau Federation,94-0357610,501(c)(5),Sacramento,CA,"$12,918,785"
California Certified Organic Farmers,77-0070930,501(c)(5),Santa Cruz,CA,"$5,584,571"
Southern Counties Dairy Herd Improvement Association,95-2859256,501(c)(5),Shafter,CA,"$2,120,129"
Orange County Farm Bureau,95-1695258,501(c)(5),Irvine,CA,"$1,706,451"
California Thoroughbred Breeders Association,95-1682276,501(c)(5),Arcadia,CA,"$1,762,427"
Ventura County Farm Bureau,95-1654056,501(c)(5),Ventura,CA,"$2,703,605"
Tulare Dairy Herd Improvement Association,94-1748827,501(c)(5),Tulare,CA,"$3,378,889"
Eisb,94-1541240,501(c)(5),San Francisco,CA,"$1,467,375"
Red Bluff Bull Sale Committee,94-1257217,501(c)(5),Red Bluff,CA,"$3,694,170"
California Cooperative Rice Research Foundation,94-1230307,501(c)(5),Biggs,CA,"$3,325,235"
Kings County Dairy Herd Improvement Association,94-1189625,501(c)(5),Hanford,CA,"$2,131,734"
Central Counties Dairy Herd Improvement Association,94-1160925,501(c)(5),Atwater,CA,"$2,995,747"
California Citrus Mutual,95-3139901,501(c)(5),Exeter,CA,"$1,998,448"
California Association of Winegrape Growers,94-2292593,501(c)(5),Sacramento,CA,"$1,817,782"
Fresno Dairy Herd Improvement Association,94-2149825,501(c)(5),Fresno,CA,"$1,393,855"
Almond Alliance,94-1749853,501(c)(5),Turlock,CA,"$908,169"
California Tomato Research Institute,94-1673568,501(c)(5),Woodland,CA,"$1,070,563"
California Tomato Growers Association,94-1364909,501(c)(5),Sacramento,CA,"$1,594,778"
Sonoma County Farm Bureau,94-1210577,501(c)(5),Santa Rosa,CA,"$1,217,815"
Modoc County Farm Bureau,94-1164660,501(c)(5),Alturas,CA,"$820,960"
Seed Certification Center Uc D,94-1020360,501(c)(5),Davis,CA,"$1,832,496"
Stanislaus County Farm Bureau,94-0894527,501(c)(5),Modesto,CA,"$1,172,597"
San Joaquin Farm Bureau Federation,94-0837105,501(c)(5),Stockton,CA,"$751,320"
California Cattlemen's Association,94-0356680,501(c)(5),Sacramento,CA,"$1,638,805"
Agricultural Council of California,94-0270940,501(c)(5),Sacramento,CA,"$993,190"
Advancing Sustainable Dairy,88-4206689,501(c)(5),Visalia,CA,"$4,963,376"
Western United Dairies,77-0064047,501(c)(5),Turlock,CA,"$1,485,865"
East San Joaquin Water Quality Coalition,73-1697597,501(c)(5),Modesto,CA,"$4,110,575"
Central Valley Dairy Representative Monitoring Program,27-5046312,501(c)(5),Sacramento,CA,"$1,900,781"
San Luis Obispo County Cattlemen's Association,95-6134080,501(c)(5),Paso Robles,CA,"$34,674"
California Pork Producers Association,95-6102147,501(c)(5),Sacramento,CA,"$309,792"
Desert Grape Growers League of California,95-3718599,501(c)(5),Mecca,CA,"$118,744"
Association of Ridgecrest Arabian Breeders,95-3407248,501(c)(5),Inyokern,CA,
California Women for Agriculture,95-3129063,501(c)(5),Sacramento,CA,"$320,223"
Santa Barbara County Cattlemens Association,95-3105234,501(c)(5),Los Alamos,CA,"$67,515"
California Avocado Society,95-2851429,501(c)(5),Ventura,CA,"$124,608"
Imperial Valley Vegetable Growers Association,95-2555825,501(c)(5),El Centro,CA,"$238,123"
California Angus Association,95-2414798,501(c)(5),Oneals,CA,"-$3,026"
Milk Producers Council,95-2019076,501(c)(5),Ontario,CA,"$553,467"
Santa Barbara County Farm Bureau,95-1866353,501(c)(5),Buellton,CA,"$229,645"
Kern County Farm Bureau,95-1711972,501(c)(5),Bakersfield,CA,"$419,050"
San Luis Obispo County Farm Bureau,95-1659761,501(c)(5),San Luis Obispo,CA,"$465,415"
San Bernardino County Farm Bureau,95-1653872,501(c)(5),San Bernardino,CA,"$20,484"
Los Angeles County Farm Bureau,95-1652837,501(c)(5),Palmdale,CA,"$47,594"
Southside Improvement Company,95-1245235,501(c)(5),Fillmore,CA,"$426,680"
San Diego County Farm Bureau,95-1184905,501(c)(5),Escondido,CA,"$492,709"
Riverside County Farm Bureau,95-1154505,501(c)(5),Moreno Valley,CA,"$199,578"
Imperial County Farm Bureau,95-0861778,501(c)(5),El Centro,CA,"$618,787"
Kern County Cattlemens Association,95-0593723,501(c)(5),Bakersfield,CA,"$21,922"
California Cattlewomen / Mendocino County CW,94-6139458,501(c)(5),Potter Valley,CA,
California Cattlewomen / Placer-Nevada,94-6139457,501(c)(5),Auburn,CA,
Shasta County Cattlemens Association,94-6104464,501(c)(5),Redding,CA,"$10,626"
Lodi District Grape Growers Association,94-6103204,501(c)(5),Lodi,CA,"$135,447"
Mariposa County Farm Bureau,94-6102756,501(c)(5),Mariposa,CA,"$33,659"
Cloverdale Ram Sale,94-6102514,501(c)(5),Cloverdale,CA,
California Cattlewomen,94-6091270,501(c)(5),Etna,CA,"$59,387"
