Name,EIN,IRS 501(c) type,City,State,Total revenues
The Trust for Public Land,23-7222333,501(c)(3),San Francisco,CA,"$297,379,545"
Peninsula Open Space Trust,94-2392007,501(c)(3),Palo Alto,CA,"$24,754,163"
Wildlife Heritage Foundation,94-3352965,501(c)(3),Lincoln,CA,"$7,032,873"
Yosemite Conservancy,94-3058041,501(c)(3),San Francisco,CA,"$23,607,653"
Save Mount Diablo,94-2681735,501(c)(3),Walnut Creek,CA,"$6,037,101"
Sempervirens Fund,94-2155097,501(c)(3),Los Altos,CA,"$10,963,707"
Sogorea Te Land Trust,82-4415931,501(c)(3),Oakland,CA,"$7,290,888"
The Natomas Basin Conservancy A Calif Non-Profit Public Benefit Corporation,68-0344388,501(c)(3),Sacramento,CA,"$9,876,862"
Placer Land Trust,68-0223143,501(c)(3),Auburn,CA,"$10,313,886"
John Muir Land Trust prev Muir Heritage Land Trust,68-0194652,501(c)(3),Martinez,CA,"$31,144,716"
Irvine Ranch Conservancy,45-5412769,501(c)(3),Irvine,CA,"$7,470,694"
Catalina Island Conservancy,23-7228407,501(c)(3),Avalon,CA,"$18,814,822"
Solano Land Trust (SLT),94-3015363,501(c)(3),Vacaville,CA,"$7,502,513"
Big Sur Land Trust,94-2473415,501(c)(3),Monterey,CA,"$10,380,116"
Land Trust of Santa Cruz County,94-2431856,501(c)(3),Santa Cruz,CA,"$17,227,644"
Land Trust of Napa County,94-2315096,501(c)(3),Napa,CA,"$48,143,674"
Home Planet Fund,87-2269671,501(c)(3),Ventura,CA,"$20,358,089"
The JMT Wilderness Conservancy,85-3608502,501(c)(3),Menlo Park,CA,"$2,233,892"
Transition Habitat Conservancy,74-3146328,501(c)(3),Pinon Hills,CA,"$10,451,405"
Mojave Desert Land Trust,72-1603033,501(c)(3),Joshua Tree,CA,"$8,113,167"
Feather River Land Trust (FRLT),68-0449687,501(c)(3),Quincy,CA,"$9,278,853"
Truckee Donner Land Trust,68-0245327,501(c)(3),Truckee,CA,"$5,703,345"
Sonoma Land Trust,51-0197006,501(c)(3),Santa Rosa,CA,"$25,805,431"
Palos Verdes Peninsula Land Conservancy,33-0309722,501(c)(3),Rancho Palos Verdes,CA,"$2,227,324"
Tule Basin Land and Water Conservation Trust,85-0956594,501(c)(3),Tulare,CA,"$6,496,948"
The Land Conservancy of San Luis Obispo County (LCSLO),77-0039294,501(c)(3),San Luis Obispo,CA,"$27,663,137"
Redwood Forest Foundation (RFFI),68-0404767,501(c)(3),Fort Bragg,CA,"$8,617,203"
The Wildlands Conservancy,33-0676450,501(c)(3),Oak Glen,CA,"$12,232,537"
Pacific Crest Trail Association,33-0051202,501(c)(3),Sacramento,CA,"$5,357,668"
Amah Mutsun Land Trust,32-0447436,501(c)(3),Santa Cruz,CA,"$5,707,199"
