Name,EIN,IRS 501(c) type,City,State,Total revenues
ClimateWorks Foundation,26-2303250,501(c)(3),San Francisco,CA,"$266,466,761"
Los Angeles Waterkeeper,95-4444787,501(c)(3),Los Angeles,CA,"$5,105,697"
San Francisco Estuary Institute,94-2951373,501(c)(3),Richmond,CA,"$13,822,849"
Klamath River Renewal Corporation,81-2761910,501(c)(3),Berkeley,CA,"$104,835,513"
Northern California Water Association,68-0273555,501(c)(6),Sacramento,CA,"$5,311,749"
The Digdeep Right To Water Project,46-0686920,501(c)(3),Los Angeles,CA,"$12,480,508"
Water Foundation,37-1833985,501(c)(3),Sacramento,CA,"$19,477,867"
Council for Watershed Health,95-4589325,501(c)(3),Pasadena,CA,"$2,123,964"
Save the Bay,94-6078420,501(c)(3),Oakland,CA,"$4,369,021"
Greater Farallones Association,94-3227237,501(c)(3),San Francisco,CA,"$3,605,258"
The Coral Reef Alliance,94-3211245,501(c)(3),San Francisco,CA,"$3,876,939"
International Rivers Network,94-3158295,501(c)(3),Oakland,CA,"$2,202,465"
Amigos de Los Rios,84-1628453,501(c)(3),Altadena,CA,"$2,846,221"
Center for Natural Lands Management (CNLM),68-0233573,501(c)(3),Temecula,CA,"$5,558,737"
Amazon Frontlines,47-5521013,501(c)(3),San Francisco,CA,"$3,843,377"
SANTA MONICA Bay RESTORATION FOUNDATION The Bay FOUNDATION,33-0420271,501(c)(3),Playa Del Rey,CA,"$2,756,995"
Coastal Quest,31-1678716,501(c)(3),Berkeley,CA,"$3,466,050"
Gridworks Organization,27-4910811,501(c)(3),Berkeley,CA,"$2,578,380"
Imagine H2O,26-1453882,501(c)(3),San Francisco,CA,"$3,735,034"
Elkhorn Slough Foundation,94-2823247,501(c)(3),Moss Landing,CA,"$5,245,873"
Truckee River Watershed Council,91-1818748,501(c)(3),Truckee,CA,"$5,921,931"
American River Conservancy,68-0195752,501(c)(3),Coloma,CA,"$6,813,553"
Plumas Corporation,68-0016418,501(c)(3),Quincy,CA,"$10,829,127"
Nature Collective,33-0358660,501(c)(3),Solana Beach,CA,"$5,709,969"
Mid Klamath Watershed Council (MKWC),20-1501256,501(c)(3),Orleans,CA,"$6,226,875"
Reef Check Foundation,95-4858649,501(c)(3),Santa Monica,CA,"$1,418,196"
Los Cerritos Wetlands Stewardship,95-4804390,501(c)(3),Long Beach,CA,"$1,372,938"
Friends of the Los Angeles River (FoLAR),95-4171497,501(c)(3),Los Angeles,CA,"$1,559,240"
Friends of Ballona Wetlands,95-3264072,501(c)(3),Playa Del Rey,CA,"$912,730"
Tuolumne River Trust,94-2834151,501(c)(3),Sonora,CA,"$3,500,072"
Smith River Alliance (SRA),94-2650838,501(c)(3),Crescent City,CA,"$2,657,223"
Natural Communities Coalition (NROC),93-1229006,501(c)(3),Irvine,CA,"$1,122,758"
UndauntedK12,92-3242587,501(c)(3),San Francisco,CA,"$1,550,346"
The Watershed Project,91-1767292,501(c)(3),Richmond,CA,"$1,310,571"
Community Water Center (CWC),80-0267674,501(c)(3),Visalia,CA,"$4,791,040"
Morro Bay National Estuary Program,77-0215847,501(c)(3),Morro Bay,CA,"$2,345,304"
San Joaquin River Parkway and Conservation Trust,77-0196692,501(c)(3),Fresno,CA,"$2,792,422"
The Mono Lake Foundation,77-0051124,501(c)(3),Lee Vining,CA,"$3,695,725"
California Ocean Science Trust,65-1261006,501(c)(3),Sacramento,CA,"$2,184,673"
Santa Ana Watershed Association (SAWA),46-0495604,501(c)(3),Riverside,CA,"$3,666,743"
Scott River Watershed Council,45-3936205,501(c)(3),Etna,CA,"$2,280,301"
National Water Research Institute,33-0481107,501(c)(3),Fountain Valley,CA,"$1,647,040"
Bolsa Chica Conservancy,33-0392527,501(c)(3),Huntington Beach,CA,"$1,076,757"
Environmental Research Center,30-0584471,501(c)(3),San Diego,CA,"$2,409,018"
Central Coast Water Quality Preservation,20-1569720,501(c)(3),Watsonville,CA,"$3,081,092"
Tahoe Fund,01-0974628,501(c)(3),Tahoe City,CA,"$4,115,226"
Ventura Coastkeeper,95-4124859,501(c)(3),Ventura,CA,"$1,855,950"
Sierra Foothill Conservancy (SFC),93-6301478,501(c)(3),Mariposa,CA,"$1,456,038"
Southwest Wetlands Interpretive Association (SWIA),95-3488027,501(c)(3),Imperial Beach,CA,"$1,350,034"
Green Foothills,94-6121854,501(c)(3),Palo Alto,CA,"$1,926,685"
Friends of the River (FOR),94-2400210,501(c)(3),Sacramento,CA,"$750,578"
Lakesides River Park Conservancy (LRPC),91-2156461,501(c)(3),Lakeside,CA,"$1,340,021"
Santa Barbara ChannelKeeper (SBCK),91-2151460,501(c)(3),Santa Barbara,CA,"$957,817"
Ballona Wetlands Conservancy,91-2100439,501(c)(3),Irvine,CA,"$1,068,338"
Eel River Watershed Improvement Group (ERWIG),91-1881974,501(c)(3),Fortuna,CA,"$1,211,925"
California Water Data Consortium,84-2664083,501(c)(3),Sacramento,CA,"$1,031,523"
Cannabis for Conservation,82-4519087,501(c)(3),Arcata,CA,"$1,383,741"
Heal The Ocean,77-0565183,501(c)(3),Santa Barbara,CA,"$1,568,270"
Watsonville Wetlands Watch (WWW),77-0519882,501(c)(3),Freedom,CA,"$1,480,025"
